ID,Total,Paid,Due,"Payment Status",Date,Status
57,"2,996.78","2,996.78",0.00,Paid,2023-06-06,Pending
56,51.92,51.92,0.00,Paid,2023-06-06,Completed
55,51.92,51.92,0.00,Paid,2023-06-06,Completed
54,51.92,51.92,0.00,Paid,2023-06-06,Completed
53,51.92,51.92,0.00,Paid,2023-06-06,Completed
52,51.92,51.92,0.00,Paid,2023-06-06,Completed
51,124.00,124.00,0.00,Paid,2023-06-06,Completed
50,51.92,51.92,0.00,Paid,2023-06-06,Completed
49,51.92,51.92,0.00,Paid,2023-06-06,Completed
48,51.92,51.92,0.00,Paid,2023-06-06,Completed
47,51.92,0.00,51.92,Unpaid,2023-06-06,Completed
46,51.92,51.92,0.00,Paid,2023-06-06,Completed
45,51.92,51.92,0.00,Paid,2023-06-06,Completed
44,51.92,51.92,0.00,Paid,2023-06-06,Completed
43,51.92,51.92,0.00,Paid,2023-06-06,Completed
42,51.92,51.92,0.00,Paid,2023-06-06,Completed
41,51.92,51.92,0.00,Paid,2023-06-06,Completed
40,51.92,51.92,0.00,Paid,2023-06-06,Completed
39,51.92,51.92,0.00,Paid,2023-06-06,Completed
38,51.92,11.00,40.92,Partial,2023-06-06,Completed
37,310.00,310.00,0.00,Paid,2023-06-06,Completed
36,51.92,51.92,0.00,Paid,2023-06-06,Completed
35,51.92,51.92,0.00,Paid,2023-06-06,Completed
34,51.92,51.92,0.00,Paid,2023-06-05,Completed
33,261.96,261.96,0.00,Paid,2023-06-05,Completed
32,261.96,261.96,0.00,Paid,2023-06-05,Completed
31,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
30,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
29,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
28,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
27,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
26,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
25,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
24,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
23,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
22,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
21,261.96,261.96,0.00,Paid,2023-06-05,Completed
20,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
19,261.96,0.00,261.96,Unpaid,2023-06-05,Completed
18,"2,095.68",0.00,"2,095.68",Unpaid,2023-06-05,Completed
15,261.96,0.00,261.96,Unpaid,2023-06-04,Completed
14,"6,936.18","6,936.18",0.00,Paid,2023-06-01,Completed
13,"1,440.78",107.00,"1,333.78",Partial,2023-06-01,Pending
12,"1,543.44",532.92,"1,010.52",Partial,2023-05-23,Ordered
11,978.69,10.00,968.69,Partial,2023-05-23,Completed
10,149.09,0.00,8.26,Unpaid,2023-05-15,Completed
9,8.26,0.00,8.26,Unpaid,2023-05-15,Completed
8,8.26,0.00,8.26,Unpaid,2023-05-15,Completed
7,8.26,0.00,8.26,Unpaid,2023-05-15,Completed
6,51.92,0.00,51.92,Unpaid,2023-05-15,Completed
5,51.92,0.00,51.92,Unpaid,2023-05-15,Completed
4,51.92,0.00,51.92,Unpaid,2023-05-15,Completed
3,51.92,0.00,51.92,Unpaid,2023-05-15,Completed
2,51.92,0.00,51.92,Unpaid,2023-05-15,Completed
